"BehaviorSpace results (NetLogo 3D 6.1.1)"
"TumourAngioSim.nlogo3d"
"final-state"
"11/01/2020 11:27:09:951 +1100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-15","15","-15","15"
"[run number]","quiescent-duration","angiogenesis-signal-radius","initial-cells","max-low-energy-duration","malignant-proliferation-chance","angiogenesis-min-demand","energy-req-prolif","normal-proliferation-chance","disease-ratio","[step]","count-malignant-cells","count-somatic-cells","count-malignant-spawn-cells","count-somatic-spawn-cells","count-quiescent-cells-at-final-tick","count-quiescent-cells-occurences","count-vascular-patches"
"70","15","3","500","10","2.15","3","3","1.9","2","301","999","241","1625","1729","42","174","2461"
"72","15","3","500","10","2.15","3","3","1.9","2","301","128","169","259","1774","3","36","1248"
"73","15","3","500","10","2.15","3","3","1.9","2","301","237","239","374","1722","8","38","1389"
"71","15","3","500","10","2.15","3","3","1.9","2","301","1900","143","3074","1451","62","304","4540"
"74","15","3","500","10","2.15","3","3","1.9","2","301","893","293","1519","1973","35","188","2710"
"56","15","3","500","10","2.15","3","1","2.1","2","301","836","11663","1851","46941","60","308","2538"
"75","15","3","500","10","2.15","3","3","1.9","2","301","422","139","887","1227","18","115","783"
"76","15","3","500","10","2.15","3","3","1.9","2","301","18","278","75","1840","0","10","911"
"77","15","3","500","10","2.15","3","3","1.9","2","301","1129","195","1862","1632","27","160","2799"
"78","15","3","500","10","2.15","3","3","1.9","2","301","19","161","69","1771","0","16","783"
"57","15","3","500","10","2.15","3","1","2.1","2","301","690","13275","1451","44943","35","191","2816"
"79","15","3","500","10","2.15","3","3","1.9","2","301","135","247","247","1787","9","38","1176"
"80","15","3","500","10","2.15","3","3","1.9","2","301","134","271","214","1680","4","21","1181"
"58","15","3","500","10","2.15","3","1","2.1","2","301","723","11876","1567","47380","44","210","2936"
"82","15","3","500","10","2.15","3","3","1.9","2","301","397","303","651","2149","16","76","1733"
"83","15","3","500","10","2.15","3","3","1.9","2","301","66","173","138","1610","2","13","975"
"81","15","3","500","10","2.15","3","3","1.9","2","301","1495","182","2420","1694","53","249","3534"
"84","15","3","500","10","2.15","3","3","1.9","2","301","27","276","100","1727","1","30","811"
"85","15","3","500","10","2.15","3","3","1.9","2","301","415","246","713","1843","21","77","1512"
"86","15","3","500","10","2.15","3","3","1.9","2","301","202","138","337","1477","12","57","1204"
"87","15","3","500","10","2.15","3","3","1.9","2","301","0","323","28","1972","0","15","783"
"88","15","3","500","10","2.15","3","3","1.9","2","301","257","202","424","1722","7","42","1500"
"89","15","3","500","10","2.15","3","3","1.9","2","301","1075","245","1805","1589","39","195","2703"
"90","15","3","500","10","2.15","3","3","1.9","2","301","558","275","991","1696","25","129","1801"
"60","15","3","500","10","2.15","3","1","2.1","2","301","438","12344","884","46298","21","110","2256"
"93","15","3","500","10","2.15","3","3","2.1","2","301","20","6430","57","17960","2","9","783"
"95","15","3","500","10","2.15","3","3","2.1","2","301","43","6200","120","17658","2","24","1024"
"59","15","3","500","10","2.15","3","1","2.1","2","301","902","12682","1923","44897","44","265","3309"
"97","15","3","500","10","2.15","3","3","2.1","2","301","122","6359","196","17933","6","23","1145"
"96","15","3","500","10","2.15","3","3","2.1","2","301","550","6909","952","18359","25","95","2151"
"91","15","3","500","10","2.15","3","3","2.1","2","301","431","7831","861","22448","18","100","1835"
"94","15","3","500","10","2.15","3","3","2.1","2","301","769","6675","1504","18591","22","185","2631"
"92","15","3","500","10","2.15","3","3","2.1","2","301","605","7856","1129","22100","17","117","2704"
"98","15","3","500","10","2.15","3","3","2.1","2","301","349","7572","724","21097","17","88","1763"
"99","15","3","500","10","2.15","3","3","2.1","2","301","206","7173","371","21573","10","57","1390"
