"BehaviorSpace results (NetLogo 3D 6.1.1)"
"TumourAngioSim.nlogo3d"
"final-state"
"11/01/2020 14:38:42:562 +1100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-15","15","-15","15"
"[run number]","quiescent-duration","angiogenesis-signal-radius","initial-cells","max-low-energy-duration","malignant-proliferation-chance","angiogenesis-min-demand","energy-req-prolif","normal-proliferation-chance","disease-ratio","[step]","count-malignant-cells","count-somatic-cells","count-malignant-spawn-cells","count-somatic-spawn-cells","count-quiescent-cells-at-final-tick","count-quiescent-cells-occurences","count-vascular-patches"
"70","15","2","250","10","2.25","3","2","2","2","301","0","193","0","1206","0","2","783"
"71","15","2","250","10","2.25","3","2","2","2","301","846","130","1383","1167","19","111","1630"
"73","15","2","250","10","2.25","3","2","2","2","301","0","224","5","1396","0","2","783"
"74","15","2","250","10","2.25","3","2","2","2","301","11","110","44","1029","0","11","783"
"75","15","2","250","10","2.25","3","2","2","2","301","14","168","38","1151","0","10","788"
"77","15","2","250","10","2.25","3","2","2","2","301","0","70","15","964","0","8","783"
"72","15","2","250","10","2.25","3","2","2","2","301","269","201","439","1435","10","45","1126"
"80","15","2","250","10","2.25","3","2","2","2","301","21","55","43","713","2","6","813"
"79","15","2","250","10","2.25","3","2","2","2","301","0","129","3","938","0","1","783"
"81","15","2","250","10","2.25","3","2","2","2","301","0","184","2","1102","0","1","783"
"76","15","2","250","10","2.25","3","2","2","2","301","1155","190","2197","1304","49","249","794"
"78","15","2","250","10","2.25","3","2","2","2","301","1646","191","2787","1211","71","291","2278"
"82","15","2","250","10","2.25","3","2","2","2","301","683","163","1257","1074","20","145","1632"
"83","15","2","250","10","2.25","3","2","2","2","301","0","160","4","1116","0","3","783"
"84","15","2","250","10","2.25","3","2","2","2","301","353","119","660","1057","8","73","1279"
"91","15","2","250","10","2.25","3","2","2","2","301","0","139","0","1189","0","1","783"
"88","15","2","250","10","2.25","3","2","2","2","301","489","136","754","985","17","77","1277"
"87","15","2","250","10","2.25","3","2","2","2","301","323","273","576","1404","14","60","1201"
"86","15","2","250","10","2.25","3","2","2","2","301","929","69","1574","708","32","136","1661"
"85","15","2","250","10","2.25","3","2","2","2","301","1154","145","1967","831","37","169","1882"
"90","15","2","250","10","2.25","3","2","2","2","301","446","254","725","1470","12","62","1210"
"92","15","2","250","10","2.25","3","2","2","2","301","61","119","132","904","4","31","783"
"89","15","2","250","10","2.25","3","2","2","2","301","1317","106","2357","799","55","268","2041"
"93","15","2","250","10","2.25","3","2","2","2","301","0","196","7","1193","0","6","783"
"96","15","2","250","10","2.25","3","2","2","2","301","0","190","0","1131","0","0","783"
"97","15","2","250","10","2.25","3","2","2","2","301","153","144","250","1127","7","29","991"
"94","15","2","250","10","2.25","3","2","2","2","301","693","175","1230","1170","30","147","1162"
"100","15","2","250","10","2.25","3","2","2","2","301","0","166","17","1176","0","6","783"
"95","15","2","250","10","2.25","3","2","2","2","301","765","129","1284","1197","34","161","1457"
"98","15","2","250","10","2.25","3","2","2","2","301","0","249","0","1750","0","1","783"
"103","15","2","250","10","2.25","5","2","2","2","301","0","108","1","967","0","1","783"
"102","15","2","250","10","2.25","5","2","2","2","301","132","235","267","1329","3","31","890"
"99","15","2","250","10","2.25","3","2","2","2","301","713","165","1319","1197","38","171","1601"
"101","15","2","250","10","2.25","5","2","2","2","301","194","227","317","1431","7","32","784"
"104","15","2","250","10","2.25","5","2","2","2","301","122","103","213","1034","6","24","885"
"106","15","2","250","10","2.25","5","2","2","2","301","478","149","766","1262","23","80","1169"
"108","15","2","250","10","2.25","5","2","2","2","301","0","110","0","1014","0","2","783"
"109","15","2","250","10","2.25","5","2","2","2","301","0","244","15","1413","0","2","783"
"107","15","2","250","10","2.25","5","2","2","2","301","177","226","313","1199","7","32","967"
"110","15","2","250","10","2.25","5","2","2","2","301","157","168","270","1160","11","32","919"
"111","15","2","250","10","2.25","5","2","2","2","301","0","142","15","1136","0","3","783"
"113","15","2","250","10","2.25","5","2","2","2","301","0","135","26","923","0","10","783"
"112","15","2","250","10","2.25","5","2","2","2","301","76","229","164","1320","3","24","845"
